DIRECTORIO,Parentesco,Recibieron_Subsidio,Dinero_subsidio,SubsidioS
7121648,1,2,500000,1
7121729,1,2,400000,1
7121845,1,1,360000,1
7121846,1,1,270000,1
7121923,1,5,800000,1
7121947,1,2,360000,1
7122034,1,1,15000000,1
7122077,1,1,600000,1
7122269,1,1,800000,1
7122357,1,1,720000,1
7122489,1,1,960000,1
7122496,1,5,250000,1
7122686,1,1,8640000,1
7122810,1,3,1480000,1
7122831,1,1,400000,1
7122907,1,1,3000000,1
7122907,1,1,3000000,1
7122923,1,1,2600000,1
7122951,1,1,300000,1
7123027,1,1,1200000,1
7123160,1,1,800000,1
7123161,1,1,90000,1
7123197,1,2,300000,1
7123220,1,1,360000,1
7123255,1,1,1600000,1
7123307,1,1,720000,1
7123335,1,1,492000,1
7123389,1,1,4000000,1
7123507,1,1,3000000,1
7123509,1,1,5000000,1
7123648,1,2,10000000,1
7123706,1,2,900000,1
7123823,1,3,1200000,1
7123823,1,3,1200000,1
7123866,1,1,400000,1
7123953,1,1,514000,1
7124158,1,1,600000,1
7124160,1,1,400000,1
7124163,1,1,750000,1
7124272,1,1,1080000,1
7124276,1,1,1700000,1
7124276,2,1,1700000,1
7124291,1,1,790000,1
7124558,1,1,380000,1
7124809,1,1,600000,1
7124854,1,1,2000000,1
7124864,1,1,670000,1
7124870,1,1,2400000,1
7124891,1,1,750000,1
7124957,1,1,2400000,1
7125244,1,1,540000,1
7125244,1,1,540000,1
7125275,1,1,2080000,1
7125358,1,1,400000,1
7125363,1,1,800000,1
7125600,1,1,1700000,1
7125674,1,2,720000,1
7125760,1,1,400000,1
7125826,1,1,1000000,1
7125959,1,1,98,1
7126108,1,1,990000,1
7126108,1,1,990000,1
7126307,1,1,2000000,1
7126322,1,1,300000,1
7126330,1,2,1200000,1
7126409,1,1,80000,1
7126413,1,1,50000,1
7126449,1,2,400000,1
7126569,1,2,300000,1
7126689,1,1,900000,1
7126690,1,1,300000,1
7126703,1,1,960000,1
7126736,1,1,450000,1
7126900,1,1,1200000,1
7127053,1,1,400000,1
7127095,1,1,600000,1
7127098,1,1,800000,1
7127116,1,3,400000,1
7127232,1,2,1800000,1
7127342,1,6,98,1
7127345,1,1,99,1
7127391,1,1,100000,1
7127398,1,1,260000,1
7127419,1,1,1000000,1
7127950,1,1,800000,1
7127965,1,1,348000,1
7128033,1,1,1000000,1
7128233,1,1,412000,1
7128264,1,1,480000,1
7128474,1,1,800000,1
7128478,1,2,1600000,1
7128482,1,1,800000,1
7128530,1,4,1600000,1
7128532,1,1,1200000,1
7128826,1,1,520000,1
7129008,1,1,400000,1
7129071,1,1,276000,1
7129075,1,5,99,1
7129088,1,1,27000,1
7129375,1,1,800000,1
7129559,1,1,550000,1
7129738,1,1,2400000,1
7129851,1,1,35000,1
7130332,1,2,500000,1
7130461,1,3,98,1
7130480,1,2,180000,1
7130595,1,3,200000,1
7130597,1,4,750000,1
7130696,1,1,800000,1
7130843,1,1,6000000,1
7130926,1,1,50000,1
7131093,1,1,480000,1
7131338,1,1,400000,1
7131594,1,1,500000,1
7131607,1,1,4200000,1
7131773,1,3,138000,1
7131814,1,1,1200000,1
7131854,1,1,300000,1
7131854,1,1,300000,1
7132273,1,1,800000,1
7132275,1,1,500000,1
7132697,1,1,600000,1
7132788,1,3,12600000,1
7132849,1,1,1200000,1
7133160,1,2,1080000,1
7133197,1,1,3000000,1
7133721,1,2,820000,1
7133951,1,1,600000,1
7133955,1,1,480000,1
7134073,1,1,500000,1
7134373,1,1,415000,1
7134403,1,1,8000000,1
7134692,1,5,2000000,1
7135093,1,1,600000,1
7135160,1,1,300000,1
7135164,1,2,1200000,1
7135291,1,5,930000,1
7135308,1,1,300000,1
7136138,1,1,826000,1
7136143,1,1,500000,1
7136525,1,1,800000,1
7136596,1,1,15000000,1
7136644,1,1,60000,1
7136656,1,1,1116000,1
7136763,1,1,400000,1
7136763,1,1,400000,1
7136763,1,1,400000,1
7137053,1,2,520000,1
7137100,1,2,240000,1
7137313,1,1,1274000,1
7137314,1,3,600000,1
7137663,1,1,12000000,1
7137684,1,1,15000000,1
7137704,1,1,330000,1
