DIRECTORIO,REGION,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato
7120001,1,1,2,1,4,3,3
7120002,1,1,1,1,4,3,2
7120005,1,1,1,1,4,3,3
7120006,1,1,2,1,4,3,3
7120007,1,1,2,1,4,3,2
7120008,1,1,2,1,6,3,2
7120009,1,1,2,1,4,1,2
7120010,1,1,2,1,4,4,3
7120013,1,1,1,1,4,3,2
7120016,1,1,2,1,4,3,2
7120018,1,1,2,1,4,4,2
7120019,1,1,2,1,4,1,2
7120022,1,1,1,1,4,3,2
7120023,1,1,2,1,4,3,2
7120024,1,1,2,1,4,3,2
7120025,1,1,2,1,4,3,2
7120028,1,1,1,1,4,3,2
7120030,1,1,2,1,4,1,2
7120031,1,1,2,1,4,3,2
7120032,1,1,2,1,4,3,2
7120033,2,1,2,1,4,2,9
7120034,2,1,1,1,4,1,3
7120035,2,1,2,1,4,1,4
7120036,2,1,1,2,5,2,3
7120037,2,1,2,1,4,4,2
7120039,2,1,1,1,4,4,3
7120041,2,1,1,1,4,3,2
7120044,2,1,2,1,4,3,3
7120045,2,1,2,1,4,3,3
7120046,2,1,2,1,4,1,3
7120048,4,1,2,1,4,1,2
7120050,4,1,2,1,4,1,2
7120052,4,1,2,1,4,1,2
7120053,4,1,1,1,4,1,3
7120054,4,1,2,1,4,1,2
7120055,4,1,1,1,4,1,3
7120056,4,1,2,1,4,1,2
7120059,9,1,1,1,4,4,2
7120060,9,1,2,1,4,3,0
7120061,9,1,1,1,4,1,2
7120062,9,1,1,1,6,4,1
7120063,9,1,1,1,6,4,1
7120064,9,1,2,1,6,4,2
7120065,9,1,1,1,6,4,1
7120066,9,1,1,1,6,4,1
7120067,9,1,1,1,4,4,1
7120069,9,1,1,1,4,4,1
7120070,9,1,2,1,4,4,1
7120071,9,1,1,5,6,4,1
7120073,9,1,2,1,6,4,1
7120074,9,1,1,1,6,4,1
7120075,9,1,1,1,6,1,1
7120076,9,1,3,1,6,4,1
7120077,9,1,1,1,6,3,1
7120078,9,1,1,1,6,4,1
7120079,9,1,2,1,6,4,1
7120080,9,1,3,1,6,4,1
7120081,9,1,1,1,4,4,1
7120082,9,1,1,1,4,4,1
7120083,9,1,1,1,6,4,2
7120084,9,1,3,1,4,4,1
7120085,9,1,2,1,4,3,2
7120086,9,1,1,1,6,4,1
7120087,9,1,3,1,4,4,1
7120088,9,1,1,1,6,4,3
7120089,9,1,2,1,6,1,1
7120090,9,1,1,1,6,4,2
7120091,9,1,2,1,6,4,1
7121638,1,1,2,1,4,1,2
7121639,1,1,2,1,4,1,2
7121640,1,1,2,1,4,3,2
7121641,1,1,1,1,4,4,1
7121642,1,1,1,1,4,3,1
7121643,1,1,2,1,4,1,1
7121644,1,1,2,1,4,1,1
7121645,1,1,2,1,4,1,1
7121646,1,1,2,1,4,3,1
7121647,1,1,2,1,4,3,1
7121648,1,2,1,1,4,3,1
7121649,1,2,1,1,4,3,1
7121650,1,2,1,1,4,3,1
7121651,1,2,1,5,6,3,1
7121652,1,2,1,1,4,3,1
7121653,1,2,1,1,6,3,1
7121654,1,2,1,1,4,3,1
7121658,1,2,1,1,6,3,0
7121659,1,2,1,1,6,3,1
7121660,1,2,1,1,6,3,1
7121662,1,2,1,1,4,3,1
7121663,1,2,1,1,6,3,1
7121664,1,2,2,1,4,3,1
7121665,1,2,1,1,6,3,1
7121666,1,2,1,1,6,3,1
7121667,1,2,2,1,6,3,1
7121669,1,2,1,1,4,3,1
7121670,1,2,1,1,4,3,1
7121674,1,2,5,8,4,4,4
7121676,1,2,1,1,6,3,4
7121678,1,2,1,1,4,6,4
7121681,1,2,3,1,4,3,4
7121682,1,2,1,1,6,3,4
7121683,1,2,1,1,6,4,4
7121687,1,1,2,1,4,4,2
7121689,1,1,2,1,4,1,2
7121690,1,1,1,1,4,3,2
7121691,1,1,1,1,6,4,2
7121693,1,1,2,1,6,1,2
7121694,1,1,2,1,4,3,2
7121695,1,1,2,1,6,1,2
7121697,1,1,2,1,4,3,2
7121698,1,1,2,1,6,3,2
7121699,1,1,2,1,4,1,2
7121700,1,1,1,1,6,3,2
7121701,1,1,2,1,4,1,2
7121702,1,1,1,1,6,3,2
7121703,1,1,1,1,4,3,2
7121704,1,1,1,1,4,3,2
7121705,1,1,1,1,6,3,2
7121706,1,1,2,1,6,3,2
7121707,1,1,1,1,4,3,2
7121709,1,1,1,7,7,4,1
7121710,1,1,3,3,7,4,0
7121712,1,1,3,4,7,4,0
7121713,1,1,1,5,6,4,1
7121714,1,1,1,1,4,3,2
7121715,1,1,3,4,7,4,0
7121716,1,1,1,1,4,3,2
7121718,1,1,1,1,4,3,2
7121719,1,1,1,4,7,4,0
7121720,1,1,2,1,6,3,2
7121721,1,1,3,7,7,4,1
7121722,1,1,1,3,6,4,0
7121723,1,1,1,7,7,4,1
7121724,1,1,1,3,6,4,1
7121725,1,1,3,1,4,3,3
7121726,1,1,2,1,6,3,3
7121727,1,1,3,1,6,4,3
7121728,1,1,3,1,6,3,3
7121729,1,1,3,1,6,3,3
7121730,1,1,3,1,6,3,3
7121732,1,1,1,4,7,4,0
7121733,1,1,1,4,7,4,0
7121734,1,1,1,4,7,4,0
7121735,1,1,1,4,7,4,0
7121736,1,1,1,4,7,4,1
7121737,1,1,1,4,7,4,0
7121738,1,1,1,4,7,4,0
7121739,1,1,1,1,4,3,1
