DIRECTORIO,ORDEN,Num_Cuartos,Num_cuartos_para_dormir,Ingreso_hogar,Ingreso_percapita,cantidad_personas
7120001,1,3,2,3800000,950000,4
7120002,1,5,4,3656652,365665,10
7120005,1,5,1,4200000,2100000,2
7120006,1,3,2,1365000,455000,3
7120007,1,4,3,765833,255277,3
7120008,1,3,1,1785721,1785721,1
7120009,1,3,2,1800000,900000,2
7120010,1,4,3,7150000,1430000,5
7120013,1,4,3,5170000,1292500,4
7120016,1,2,1,178333,59444,3
7120018,1,3,2,722500,180625,4
7120019,1,3,2,3343000,557166,6
7120022,1,4,1,1533333,766666,2
7120023,1,3,2,1472500,368125,4
7120024,1,2,1,2178316,544579,4
7120025,1,3,2,1793116,597705,3
7120028,1,2,2,2200000,733333,3
7120030,1,2,1,500000,250000,2
7120031,1,2,1,2662948,2662948,1
7120032,1,2,1,705000,352500,2
7120033,1,2,1,2323157,774385,3
7120034,1,4,3,1100000,366666,3
7120035,1,4,2,3000000,1000000,3
7120036,1,3,2,7709987,3854993,2
7120037,1,3,2,1250000,625000,2
7120039,1,5,4,3800000,950000,4
7120041,1,3,2,857500,171500,5
7120044,1,3,2,7000000,3500000,2
7120045,1,4,3,3250000,1625000,2
7120046,1,4,3,2620000,436666,6
7120048,1,3,1,3940000,3940000,1
7120050,1,3,1,6370666,6370666,1
7120052,1,4,1,1080000,540000,2
7120053,1,6,3,6608333,1652083,4
7120054,1,3,2,1770600,442650,4
7120055,1,7,3,8131000,2032750,4
7120056,1,2,1,35000,35000,1
7120059,1,8,3,2604666,868222,3
7120060,1,2,1,5500000,5500000,1
7120061,1,4,2,4454166,1113541,4
7120062,1,4,3,1033333,258333,4
7120063,1,3,2,985833,328611,3
7120064,1,1,1,344000,344000,1
7120065,1,2,1,2455833,1227916,2
7120066,1,3,2,895000,298333,3
7120067,1,2,1,1178000,589000,2
7120069,1,3,2,700000,350000,2
7120070,1,3,2,960000,480000,2
7120071,1,3,1,2133481,1066740,2
7120073,1,3,2,650000,325000,2
7120074,1,3,1,375000,375000,1
7120075,1,4,3,420000,52500,8
7120076,1,1,1,685000,228333,3
7120077,1,3,2,3100000,3100000,1
7120078,1,2,1,1294148,1294148,1
7120079,1,3,2,1600000,800000,2
7120080,1,1,1,1125694,1125694,1
7120081,1,3,1,2147000,2147000,1
7120082,1,3,1,1481666,1481666,1
7120083,1,3,2,220000,73333,3
7120084,1,2,1,863500,287833,3
7120085,1,3,1,3442000,1147333,3
7120086,1,3,1,200000,100000,2
7120087,1,1,1,550000,275000,2
7120088,1,6,3,2999166,999722,3
7120089,1,3,2,1495833,299166,5
7120090,1,3,2,972000,324000,3
7120091,1,2,1,1073116,536558,2
7121638,1,4,3,4900000,1225000,4
7121639,1,3,2,1004782,334927,3
7121640,1,3,2,828000,276000,3
7121641,1,4,3,4828211,965642,5
7121642,1,4,3,2118744,302677,7
7121643,1,3,2,4833333,1611111,3
7121644,1,4,3,3056422,611284,5
7121645,1,3,2,3025000,1008333,3
7121646,1,3,2,446666,111666,4
7121647,1,4,1,25000,25000,1
7121648,1,7,5,2389949,298743,8
7121649,1,4,2,680000,226666,3
7121650,1,3,2,310000,103333,3
7121651,1,3,3,1030000,343333,3
7121652,1,4,3,816666,204166,4
7121653,1,4,3,1290000,129000,10
7121654,1,4,2,812500,406250,2
7121658,1,2,2,1615616,323123,5
7121659,1,4,2,1622032,405508,4
7121660,1,3,2,1496615,374153,4
7121662,1,3,2,300000,150000,2
7121663,1,5,3,870666,145111,6
7121664,1,3,2,1102152,275538,4
7121665,1,3,2,0,0,2
7121666,1,2,2,1021652,340550,3
7121667,1,2,1,545000,181666,3
7121669,1,4,3,700000,100000,7
7121670,1,3,2,554666,277333,2
7121674,1,1,1,1150000,383333,3
7121676,1,3,1,668333,334166,2
7121678,1,3,1,1062000,1062000,1
7121681,1,1,1,1129000,1129000,1
7121682,1,3,2,1986666,331111,6
7121683,1,1,1,700000,700000,1
7121687,1,5,3,904500,180900,5
7121689,1,5,1,2000000,1000000,2
7121690,1,5,3,1871666,467916,4
7121691,1,5,4,360416,90104,4
7121693,1,4,3,3030000,505000,6
7121694,1,3,1,1400000,350000,4
7121695,1,2,1,861666,287222,3
7121697,1,4,2,1182500,295625,4
7121698,1,2,1,900000,300000,3
7121699,1,3,1,970000,242500,4
7121700,1,5,3,400000,100000,4
7121701,1,3,2,1500000,375000,4
7121702,1,3,2,1866666,373333,5
7121703,1,5,2,1100000,550000,2
7121704,1,3,2,1132000,566000,2
7121705,1,3,2,3804500,475562,8
7121706,1,4,3,1272500,254500,5
7121707,1,1,1,1200000,600000,2
7121709,1,1,1,60000,20000,3
7121710,1,2,1,1159833,386611,3
7121712,1,3,2,996000,199200,5
7121713,1,2,1,570000,114000,5
7121714,1,3,2,286666,143333,2
7121715,1,2,1,210000,52500,4
7121716,1,4,4,0,0,1
7121718,1,5,1,7633333,3816666,2
7121719,1,3,2,1532583,255430,6
7121720,1,4,2,1080000,270000,4
7121721,1,1,1,70000,17500,4
7121722,1,3,2,330000,110000,3
7121723,1,2,2,668666,133733,5
7121724,1,4,2,794000,198500,4
7121725,1,1,1,800000,800000,1
7121726,1,4,2,2047000,682333,3
7121727,1,1,1,720000,720000,1
7121728,1,1,1,400000,400000,1
7121729,1,1,1,528333,264166,2
7121730,1,1,1,900000,900000,1
7121732,1,1,1,850000,212500,4
7121733,1,1,1,309583,51597,6
7121734,1,2,1,700000,350000,2
7121735,1,2,1,1212666,404222,3
7121736,1,2,2,900000,180000,5
7121737,1,1,1,450000,450000,1
7121738,1,1,1,458000,65428,7
7121739,1,3,3,780000,156000,5
7121740,1,2,1,780000,390000,2
7121741,1,3,2,790000,263333,3
7121742,1,3,2,2200000,550000,4
7121744,1,3,3,886500,221625,4
7121746,1,3,1,750000,750000,1
7121747,1,2,1,600000,600000,1
7121748,1,4,1,1375000,687500,2
7121750,1,5,3,789583,263194,3
7121751,1,3,1,1041666,1041666,1
7121752,1,3,2,2507333,358190,7
7121753,1,4,2,4300000,2150000,2
7121755,1,2,1,100000,50000,2
7121756,1,2,1,305000,76250,4
7121757,1,3,2,235000,78333,3
7121759,1,2,1,600000,200000,3
7121762,1,3,1,374166,187083,2
7121763,1,5,2,475000,237500,2
7121764,1,4,1,1800000,900000,2
7121765,1,4,1,300000,300000,1
7121767,1,3,2,507833,253916,2
7121769,1,3,1,216666,216666,1
7121770,1,3,2,625000,208333,3
7121773,1,3,2,1258116,251623,5
7121774,1,4,1,650000,325000,2
7121776,1,4,2,3620000,1040000,4
7121783,1,4,1,3250000,1625000,2
7121801,1,4,1,430000,215000,2
7121802,1,6,2,2400000,1200000,2
7121805,1,5,3,2137666,427533,5
7121806,1,2,1,657833,219277,3
7121808,1,2,1,1035000,345000,3
7121808,2,2,1,800000,400000,2
7121810,1,3,1,1500000,750000,2
7121811,1,2,1,1679166,419791,4
7121812,1,4,2,480000,160000,3
7121813,1,5,2,808333,404166,2
7121814,1,3,1,600000,600000,1
7121816,1,3,2,718333,143666,5
7121817,1,3,2,600000,600000,1
7121819,1,4,3,2655000,531000,5
7121820,1,4,1,1100000,1100000,1
7121822,1,3,2,1911666,477916,4
7121823,1,3,1,1875000,1875000,1
7121825,1,5,2,2426666,808888,3
7121826,1,3,2,2000000,2000000,1
7121827,1,3,2,305000,61000,5
7121828,1,2,1,80000,80000,1
7121829,1,2,1,1200000,300000,4
7121830,1,3,2,609500,152375,4
7121831,1,2,1,961500,480750,2
7121832,1,6,5,800000,200000,4
