DIRECTORIO,Num_Cuartos,Num_cuartos_para_dormir,CANT_PERSONAS_HOGAR,Ingreso_Hogares,Ingreso_Per_capita
7120001,3,2,4,3800000,950000
7120002,5,4,10,3656652,365665
7120005,5,1,2,4200000,2100000
7120006,3,2,3,1365000,455000
7120007,4,3,3,765833,255277
7120008,3,1,1,1785721,1785721
7120009,3,2,2,1800000,900000
7120010,4,3,5,7150000,1430000
7120013,4,3,4,5170000,1292500
7120016,2,1,3,178333,59444
7120018,3,2,4,722500,180625
7120019,3,2,6,3343000,557166
7120022,4,1,2,1533333,766666
7120023,3,2,4,1472500,368125
7120024,2,1,4,2178316,544579
7120025,3,2,3,1793116,597705
7120028,2,2,3,2200000,733333
7120030,2,1,2,500000,250000
7120031,2,1,1,2662948,2662948
7120032,2,1,2,705000,352500
7120033,2,1,3,2323157,774385
7120034,4,3,3,1100000,366666
7120035,4,2,3,3000000,1000000
7120036,3,2,2,7709987,3854993
7120037,3,2,2,1250000,625000
7120039,5,4,4,3800000,950000
7120041,3,2,5,857500,171500
7120044,3,2,2,7000000,3500000
7120045,4,3,2,3250000,1625000
7120046,4,3,6,2620000,436666
7120048,3,1,1,3940000,3940000
7120050,3,1,1,6370666,6370666
7120052,4,1,2,1080000,540000
7120053,6,3,4,6608333,1652083
7120054,3,2,4,1770600,442650
7120055,7,3,4,8131000,2032750
7120056,2,1,1,35000,35000
7120059,8,3,3,2604666,868222
7120060,2,1,1,5500000,5500000
7120061,4,2,4,4454166,1113541
7120062,4,3,4,1033333,258333
7120063,3,2,3,985833,328611
7120064,1,1,1,344000,344000
7120065,2,1,2,2455833,1227916
7120066,3,2,3,895000,298333
7120067,2,1,2,1178000,589000
7120069,3,2,2,700000,350000
7120070,3,2,2,960000,480000
7120071,3,1,2,2133481,1066740
7120073,3,2,2,650000,325000
7120074,3,1,1,375000,375000
7120075,4,3,8,420000,52500
7120076,1,1,3,685000,228333
7120077,3,2,1,3100000,3100000
7120078,2,1,1,1294148,1294148
7120079,3,2,2,1600000,800000
7120080,1,1,1,1125694,1125694
7120081,3,1,1,2147000,2147000
