DIRECTORIO,Parentesco,Actividad
7120001,1,4
7120001,2,1
7120002,1,1
7120002,2,5
7120005,1,4
7120005,2,4
7120006,1,1
7120007,1,4
7120008,1,6
7120009,1,4
7120010,1,1
7120010,2,4
7120013,1,1
7120016,1,4
7120018,1,1
7120018,2,4
7120019,1,1
7120022,1,4
7120022,2,4
7120023,1,1
7120023,2,4
7120024,1,1
7120024,2,1
7120025,1,4
7120025,2,5
7120028,1,5
7120028,2,1
7120030,1,2
7120030,2,4
7120031,1,1
7120032,1,1
7120033,1,1
7120033,2,1
7120034,1,4
7120035,1,2
7120035,2,1
7120036,1,1
7120037,1,5
7120039,1,5
7120039,2,4
7120041,1,1
7120044,1,1
7120045,1,5
7120045,2,4
7120046,1,1
7120046,2,4
7120048,1,6
7120050,1,1
7120052,1,1
7120052,2,4
7120053,1,1
7120053,2,4
7120054,1,4
7120054,2,1
7120055,1,1
7120055,2,1
7120056,1,3
7120059,1,1
7120060,1,1
7120061,1,1
7120061,2,4
7120062,1,5
7120062,2,5
7120063,1,1
7120063,2,1
7120064,1,1
7120065,1,1
7120065,2,1
7120066,1,1
7120066,2,4
7120067,1,1
7120067,2,4
7120069,1,5
7120069,2,5
7120070,1,4
7120071,1,1
7120071,2,4
7120073,1,1
7120074,1,4
7120075,1,1
7120075,2,1
7120076,1,1
7120077,1,1
7120078,1,1
7120079,1,1
7120080,1,1
7120081,1,1
7120082,1,1
7120083,1,4
7120084,1,2
7120084,2,1
7120085,1,1
7120085,2,1
7120086,1,4
7120086,2,4
7120087,1,4
7120087,2,5
7120088,1,1
7120089,1,1
7120089,2,1
7120090,1,1
7120090,2,4
7120091,1,1
7121638,1,1
7121638,2,4
7121639,1,4
7121640,1,4
7121641,1,1
7121641,2,4
7121642,1,2
7121642,2,4
7121643,1,1
7121643,2,4
7121644,1,1
7121644,2,4
7121645,1,1
7121645,2,1
7121646,1,4
7121647,1,2
7121648,1,1
7121649,1,6
7121649,2,4
7121650,1,1
7121651,1,4
7121652,1,4
7121652,2,1
7121653,1,1
7121653,2,4
7121654,1,4
7121658,1,1
7121658,2,1
7121659,1,4
7121660,1,4
7121660,2,1
7121662,1,4
7121663,1,2
7121663,2,4
7121664,1,1
7121664,2,4
7121665,1,4
7121666,1,4
7121666,2,1
7121667,1,3
7121667,2,1
7121669,1,1
7121669,2,4
7121670,1,1
7121674,1,1
7121674,2,4
7121676,1,1
7121676,2,2
7121678,1,1
7121681,1,1
7121682,1,1
7121682,2,4
7121683,1,1
7121687,1,4
7121689,1,1
7121689,2,4
7121690,1,4
7121691,1,4
7121693,1,1
7121693,2,4
7121694,1,2
7121694,2,1
7121695,1,4
7121697,1,4
7121697,2,1
7121698,1,4
7121698,2,1
7121699,1,1
7121699,2,4
7121700,1,1
7121701,1,1
7121702,1,4
7121703,1,4
7121704,1,4
7121704,2,5
7121705,1,1
7121705,2,4
7121706,1,5
7121706,2,1
7121707,1,1
7121707,2,4
7121709,1,2
7121709,2,4
7121710,1,4
7121710,2,1
7121712,1,1
7121712,2,4
7121713,1,1
7121713,2,4
7121714,1,4
7121715,1,2
7121716,1,4
7121718,1,1
7121718,2,1
7121719,1,1
7121719,2,4
7121720,1,1
7121720,2,4
7121721,1,1
7121722,1,1
7121723,1,4
7121723,2,1
7121724,1,1
7121724,2,1
7121725,1,1
7121726,1,1
7121727,1,1
7121728,1,1
7121729,1,2
7121730,1,1
7121732,1,1
7121732,2,1
7121733,1,1
7121733,2,4
7121734,1,1
7121734,2,1
7121735,1,4
7121735,2,1
7121736,1,1
7121737,1,1
7121738,1,1
7121738,2,1
7121739,1,1
7121740,1,1
7121741,1,1
7121741,2,1
7121742,1,1
7121742,2,1
7121744,1,1
7121746,1,1
7121747,1,1
7121748,1,4
7121748,2,6
7121750,1,4
7121751,1,1
7121752,1,4
7121753,1,1
7121755,1,2
7121755,2,4
7121756,1,1
7121756,2,4
7121757,1,2
7121757,2,4
7121759,1,1
7121759,2,4
7121762,1,1
7121762,2,4
7121763,1,4
7121763,2,4
7121764,1,1
7121764,2,1
7121765,1,4
7121767,1,1
7121769,1,5
7121770,1,5
7121770,2,4
7121773,1,1
7121773,2,4
7121774,1,1
7121774,2,4
7121776,1,1
7121776,2,4
7121783,1,4
7121783,2,1
7121801,1,5
7121801,2,4
7121802,1,4
7121805,1,1
7121805,2,4
7121806,1,1
7121806,2,4
7121808,1,1
7121808,1,1
7121808,1,1
7121808,1,1
7121808,2,4
7121808,2,4
7121808,2,4
7121808,2,4
7121810,1,1
7121810,2,4
7121811,1,1
7121811,2,4
