DIRECTORIO,Parentesco,Veces_lavadora,Tamaño_nevera,Horas_pc,Pago_energia,Pago_gas
7120001,1,1,1,4,85000,25000
7120002,1, ,2, ,62000,30000
7120005,1,2,2,1,189000,34000
7120006,1,2,2, ,188800,32000
7120007,1,2,1, ,87000,23000
7120008,1,1, , ,30000, 
7120009,1,1,2, ,100000,250000
7120010,1,1,2, ,120000,42000
7120013,1, , , ,50000,4000
7120016,1,2,2,2,0,0
7120018,1,3,2, ,75000,10000
7120019,1,3,2, ,90000,40000
7120022,1,2,3, ,107000,42700
7120023,1,2,2, ,88000,25000
7120024,1,2,1, ,42000,8000
7120025,1,2,1, ,65000,15000
7120028,1, , , ,120000,10000
7120030,1, ,2, ,70000,15000
7120031,1, ,1, ,60000,40000
7120032,1,2, , ,40000,6000
7120033,1, ,2,1,0, 
7120034,1,1,2,1,135000, 
7120035,1,2,1,5,64000,33000
7120036,1, ,2,2,70000,27000
7120037,1, ,1, ,15000,30000
7120039,1,2,2,12,100000,25000
7120041,1, ,2, ,80000,9000
7120044,1, , ,1,20000,24000
7120045,1,2,2,0,80000,27000
7120046,1,2,2,10,90000,25000
7120048,1,1,1, ,32000,8000
7120050,1,1,2, ,20000,10000
7120052,1,2,2, ,80000,20000
7120053,1,2,2,0,52000,49000
7120054,1,2,2, ,28000, 
7120055,1,2,2,3,60000,5000
7120056,1,1,2,4,48000, 
7120059,1,2,1, ,230000, 
7120060,1,1,2,1,0, 
7120061,1,2,1, ,25000, 
7120062,1,2,1, ,42000,46000
7120063,1,1,2, ,26000,35000
7120064,1, ,2, ,40000, 
7120065,1,2,2, ,22000, 
7120066,1,2,2, ,15400,13200
7120067,1, , , ,20000, 
7120069,1, ,1, ,27000,40000
7120070,1, ,1, ,35000,10000
7120071,1,2,2, ,25000, 
7120073,1, , , ,28000, 
7120074,1,2, , ,35000, 
7120075,1, ,1, ,45000,32000
7120076,1, ,1, ,15000,13000
7120077,1,2,2, ,20800,1300
7120078,1, ,3, ,38000,19000
7120079,1,1,1, ,8400,5000
7120080,1, , , ,12000,3000
7120081,1,2,2, ,45000, 
7120082,1,1,3, ,15000, 
7120083,1, , , ,28000,20000
7120084,1, , , ,90000, 
7120085,1,2,2, ,48000, 
7120086,1, ,3, ,23600,55900
7120087,1,2,1, ,94600, 
7120088,1,2,1, ,148300,48000
7120089,1,2,1, ,82000, 
7120090,1,1,2, ,33000, 
7120091,1, ,1, ,38000, 
7121638,1,3,2, ,70000,50000
7121639,1,2,2,0,0,0
7121640,1,2,1,3,40000,0
7121641,1,3,2, ,200000,25000
7121642,1,3,2, ,39800,25000
7121643,1,3,3, ,167360,17000
7121644,1, ,2, ,40000,20000
7121645,1,3,2, ,79000,20000
7121646,1, ,2, ,53000,9200
7121647,1,1,1,1,30000,1000
7121648,1, ,2, ,112000,30000
7121649,1,2,1, ,40700,10911
7121650,1, ,2, ,40000,10000
7121651,1,1, , ,10000, 
7121652,1,3, , ,65000,29000
7121653,1, ,2, ,34000,16000
7121654,1,2,2, ,48000,12000
7121658,1, ,2, ,20000, 
7121659,1, , , ,50000,9000
7121660,1, , , ,57000,36000
7121662,1, ,2, ,50000,61000
7121663,1,3,1, ,58000,0
7121664,1,2,2, ,25000,12000
7121665,1,2, , ,48000,12000
7121666,1,2,2, ,30000,30000
7121667,1, , , ,25000,15000
7121669,1,2,2, ,50000,16000
7121670,1,2,2, ,32000,28000
7121674,1,3,1, ,0, 
7121676,1, ,2, ,0, 
7121678,1,1,1, ,80000, 
7121681,1, ,1, ,90000, 
7121682,1,4,3, ,0, 
7121683,1, , , ,80000, 
7121687,1, ,1, ,32000,5000
7121689,1,2,2, ,56000,8000
7121690,1,1,2, ,72000,13500
7121691,1,2,2, ,48000,12000
7121693,1,2,2, ,209710,62664
7121694,1, , , ,0, 
7121695,1,2,1,14,0,8000
7121697,1, ,2, ,32000,13000
7121698,1,2,2, ,0,9000
7121699,1, ,1, ,62000,17000
7121700,1,2,2, ,200000,25000
7121701,1,2,2,0,77000,8000
7121702,1,2,2, ,0,35000
7121703,1, ,1, ,150000,20000
7121704,1, ,1, ,50000,30000
7121705,1,2,2, ,0,38550
7121706,1, ,1, ,62000,24000
7121707,1,2,1,12,300000, 
7121709,1, , , ,0, 
7121710,1, , , ,0, 
7121712,1, , , ,0, 
7121713,1, ,2, ,0, 
7121714,1, ,2, ,55000,30000
7121715,1, , , ,0, 
7121716,1, ,1, ,80000,8000
7121718,1,1,2, ,190000,32000
7121719,1,1,2, ,0, 
7121720,1, ,1, ,35000,3800
7121721,1, , , ,0, 
7121722,1, , , ,0, 
7121723,1,1, , ,0, 
7121724,1, ,2, ,0, 
7121725,1, ,1, ,20000, 
7121726,1,3,1,2,103000,47000
7121727,1, , , ,67680, 
7121728,1, , , ,20000, 
7121729,1, , , ,0, 
7121730,1, , , ,0, 
7121732,1, , , ,0, 
7121733,1, , , ,0, 
7121734,1, , , ,0, 
