DIRECTORIO,ID,Sexo,Edad,Parentesco,Estado_civil,Conyuge,Padre_vive,Madre_vive,Cultura,Campesino,Satisfaccion_vida,Satisfaccion_economica,Satisfaccion_salud,Satisfaccion_trabajo,Felicidad,Tristeza,Escalon_vida,Hijos,REGION,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato,ORDEN,Num_Cuartos,Num_cuartos_para_dormir,Ingreso_hogar,Ingreso_percapita,cantidad_personas,Tiene_EPS,Percepcion,Prepagada,Estado_salud,Enfermedad_grave,Sabe_escribir_leer,Estudia?,Nivel_educativo,Publico_privado,Actividad,Pension,Recibe_ingreso,Recibe_ingreso_alimento,Recibe_ingreso_bienes,Recibieron_Subsidio,Dinero_subsidio,SubsidioS,Veces_lavadora,Tamaño_nevera,Horas_pc,Pago_energia,Pago_gas
7121648,3,2,52,1,3, ,3,3,5,2,8,9,9,8,8,1,8,0,1,2,1,1,4,3,1,1,7,5,2389949,298743,8,1,2,2,2,2,1,2,5, ,1,2,2,2,2,2.0,500000.0,1.0, ,2, ,112000,30000
7121648,3,2,52,1,3, ,3,3,5,2,8,9,9,8,8,1,8,0,1,2,1,1,4,3,1,1,7,5,2389949,298743,8,1,2,2,2,2,1,2,5, ,1,2,2,2,2,2.0,500000.0,1.0, ,2, ,112000,30000
7121648,3,2,52,1,3, ,3,3,5,2,8,9,9,8,8,1,8,0,1,2,1,1,4,3,1,1,7,5,2389949,298743,8,1,2,2,2,2,1,2,5, ,1,2,2,2,2,2.0,500000.0,1.0, ,2, ,112000,30000
7121648,3,2,52,1,3, ,3,3,5,2,8,9,9,8,8,1,8,0,1,2,1,1,4,3,1,1,7,5,2389949,298743,8,1,2,2,2,2,1,2,5, ,1,2,2,2,2,2.0,500000.0,1.0, ,2, ,112000,30000
7121648,3,2,52,1,3, ,3,3,5,2,8,9,9,8,8,1,8,0,1,2,1,1,4,3,1,1,7,5,2389949,298743,8,1,2,2,2,2,1,2,5, ,1,2,2,2,2,2.0,500000.0,1.0, ,2, ,112000,30000
7121648,3,2,52,1,3, ,3,3,5,2,8,9,9,8,8,1,8,0,1,2,1,1,4,3,1,1,7,5,2389949,298743,8,1,2,2,2,2,1,2,5, ,1,2,2,2,2,2.0,500000.0,1.0, ,2, ,112000,30000
7121648,3,2,52,1,3, ,3,3,5,2,8,9,9,8,8,1,8,0,1,2,1,1,4,3,1,1,7,5,2389949,298743,8,1,2,2,2,2,1,2,5, ,1,2,2,2,2,2.0,500000.0,1.0, ,2, ,112000,30000
7121648,3,2,52,1,3, ,3,3,5,2,8,9,9,8,8,1,8,0,1,2,1,1,4,3,1,1,7,5,2389949,298743,8,1,2,2,2,2,1,2,5, ,1,2,2,2,2,2.0,500000.0,1.0, ,2, ,112000,30000
7121729,5,1,22,1,4, ,2,2,5,1,8,5,9,0,0,7,5,1,1,1,3,1,6,3,3,1,1,1,528333,264166,2,2, ,2,3,2,1,2,5, ,2,2,2,2,2,2.0,400000.0,1.0, , , ,0, 
7121845,3,2,34,1,4, ,3,1,6,2,6,4,10,3,7,2,9,2,3,1,1,1,4,4,1,1,3,3,416666,104166,4,1,2,2,1,2,1,2,5, ,4,2,2,2,2,1.0,360000.0,1.0,2,1, ,12000, 
7121846,3,1,26,1,2,1,2,2,6,2,10,6,9,9,10,4,9,2,3,1,1,1,6,4,1,1,3,1,912500,228125,4,1,3,2,2,2,1,2,7, ,1,2,2,2,2,1.0,270000.0,1.0, ,1, ,15000, 
7121923,3,2,48,1,4, ,3,2,6,1,6,0,8,0,8,0,10,3,3,1,2,1,4,3,1,1,4,3,625000,125000,5,1,3,2,2,1,1,2,5, ,4,2,2,2,2,5.0,800000.0,1.0,2,1, ,35000,9200
7121947,3,1,73,1,6,1,3,3,6,1,10,8,7,9,9,0,10,0,3,1,1,1,4,4,3,1,5,2,1136666,568333,2,1,2,2,2,1,1,2,3, ,4,2,2,2,1,2.0,360000.0,1.0,1,1, ,54000,45000
7121947,3,1,73,1,6,1,3,3,6,1,10,8,7,9,9,0,10,0,3,1,1,1,4,4,3,1,5,2,1136666,568333,2,1,2,2,2,1,1,2,3, ,4,2,2,2,1,2.0,360000.0,1.0,1,1, ,54000,45000
7122034,3,1,79,1,6,1,2,2,6,1,7,4,3,7,6,6,10,1,2,2,1,5,6,4,1,1,3,1,2750000,916666,3,1,3,2,4,2,2,2,1, ,4,2,2,2,2,1.0,15000000.0,1.0,2,2, ,22000, 
