DIRECTORIO,Hijos
7120001,1
7120002,5
7120009,1
7120010,3
7120016,2
7120018,2
7120019,1
7120023,2
7120024,2
7120025,1
7120032,1
7120033,1
7120035,1
7120039,2
7120041,4
7120046,4
7120053,2
7120054,2
7120055,2
7120061,2
7120062,1
7120063,1
7120066,1
7120070,1
7120073,1
7120075,6
7120076,2
7120083,1
7120084,1
7120085,1
7120088,1
7120089,2
7120090,1
7120091,1
7121638,2
7121639,1
7121640,2
7121641,2
7121642,3
7121643,1
7121644,3
7121645,1
7121646,2
7121650,2
7121652,2
7121653,2
7121658,3
7121660,2
7121662,1
7121663,3
7121664,2
7121666,1
7121667,1
7121669,4
7121674,1
7121682,3
7121687,1
7121690,2
7121691,1
7121693,2
7121694,2
7121695,2
7121697,2
7121698,1
7121699,2
7121700,3
7121701,3
7121702,1
7121703,1
7121705,3
7121706,2
7121709,1
7121710,1
7121712,2
7121713,3
7121715,2
7121719,4
7121720,2
7121721,3
7121722,2
7121723,3
7121724,2
7121726,1
7121729,1
7121732,2
7121733,4
7121735,1
7121736,2
7121738,3
7121739,2
7121740,1
7121741,1
7121744,2
7121752,4
7121753,1
7121756,2
7121759,1
7121767,1
7121770,1
7121773,3
7121802,1
7121805,3
7121806,1
7121808,1
7121811,2
7121812,1
7121813,1
7121816,4
7121819,1
7121822,2
7121825,2
7121827,3
7121829,2
7121830,2
7121831,1
7121833,1
7121835,1
7121837,1
7121838,1
7121840,1
7121841,2
7121845,2
7121846,2
7121847,2
7121848,1
7121849,3
7121854,1
7121855,2
7121856,4
7121857,1
7121862,3
7121864,3
7121867,3
7121868,2
7121869,1
7121870,2
7121871,4
7121874,1
7121877,3
7121878,2
7121880,1
7121888,1
7121889,4
7121890,2
7121892,3
7121893,2
7121894,2
7121895,1
7121898,2
7121899,1
7121901,2
7121902,4
7121905,3
7121906,1
7121908,1
7121911,1
7121912,1
7121913,1
7121920,1
7121921,2
7121922,2
7121923,3
7121924,1
7121926,1
7121928,4
7121933,2
7121934,3
7121935,1
7121936,1
7121939,2
7121940,1
7121942,1
7121943,1
7121946,1
7121949,1
7121952,2
7121954,1
7121956,1
7121957,1
7121960,3
7121962,2
7121964,1
7121966,1
7121968,1
7121969,2
7121978,2
7121981,1
7121983,3
7121985,1
7121987,3
7121989,2
7121992,2
7121993,1
7121995,1
7121997,2
7122002,1
7122005,1
7122007,4
7122013,2
7122014,1
7122020,3
7122023,1
7122025,1
7122027,2
7122034,1
7122037,2
7122038,2
7122039,3
7122042,2
7122046,1
7122051,2
7122055,2
7122057,2
7122058,2
7122061,1
7122062,3
7122064,1
7122066,3
7122067,2
7122068,1
7122071,3
7122072,2
7122073,3
7122075,1
7122076,1
7122077,2
7122080,2
7122081,2
7122083,2
7122085,1
7122086,3
7122087,2
7122088,3
7122089,4
7122090,1
7122091,2
7122093,2
7122094,3
7122108,1
7122110,1
7122111,2
7122113,1
7122115,2
7122116,3
7122118,2
7122120,2
7122122,2
7122123,2
7122125,1
7122127,1
7122131,1
7122134,3
7122135,1
7122137,1
7122138,2
7122140,1
7122141,1
7122142,2
7122143,1
7122145,5
7122147,1
7122148,2
7122149,3
7122150,1
7122152,1
7122153,1
7122154,1
7122159,2
7122161,1
7122163,2
7122164,2
7122165,1
7122167,2
7122174,1
7122183,2
7122184,3
7122185,1
7122191,2
7122195,1
7122197,2
7122198,1
7122199,1
7122200,2
7122201,1
7122202,3
7122203,2
7122204,2
7122205,1
7122207,2
7122209,2
7122210,1
7122214,1
7122217,3
7122219,1
7122220,2
7122221,1
7122222,1
7122223,1
7122225,2
7122226,1
7122227,1
7122228,1
7122229,2
7122230,2
7122231,1
7122232,2
7122233,1
7122236,1
7122237,1
7122238,2
7122241,3
7122245,1
7122247,1
7122250,1
7122251,1
7122253,1
7122255,1
7122257,2
7122263,2
7122264,2
7122265,1
7122268,4
