Hijos,Edad,Cultura,Felicidad,Ingreso_Hogares,Ingreso_Per_capita,Nivel_educativo,Actividad
1,44,6,10,3800000,950000,7,4
1,48,1,10,3800000,950000,11,1
5,61,5,8,3656652,365665,5,1
5,54,5,8,3656652,365665,3,5
0,79,6,1,4200000,2100000,11,4
0,79,6,1,4200000,2100000,11,4
0,75,6,9,4200000,2100000,4,4
0,75,6,9,4200000,2100000,4,4
0,37,6,2,1365000,455000,9,1
0,37,6,2,1365000,455000,9,1
0,37,6,2,1365000,455000,9,1
0,72,5,7,765833,255277,4,4
0,72,5,7,765833,255277,4,4
0,72,5,7,765833,255277,4,4
1,74,6,9,1800000,900000,3,4
3,41,6,8,7150000,1430000,3,1
3,35,6,8,7150000,1430000,7,4
0,26,6,10,5170000,1292500,5,1
0,26,6,10,5170000,1292500,5,1
0,26,6,10,5170000,1292500,5,1
0,26,6,10,5170000,1292500,5,1
1,60,5,8,3343000,557166,3,1
0,65,5,7,1533333,766666,4,4
0,65,5,7,1533333,766666,4,4
0,61,6,5,1533333,766666,3,4
0,61,6,5,1533333,766666,3,4
2,35,5,8,1472500,368125,7,1
2,32,6,5,1472500,368125,5,4
2,35,5,10,2178316,544579,5,1
2,26,5,10,2178316,544579,5,1
1,55,6,6,1793116,597705,4,4
1,58,6,6,1793116,597705,4,5
0,64,5,7,2200000,733333,11,5
0,64,5,7,2200000,733333,11,5
0,64,5,7,2200000,733333,11,5
0,61,5,7,2200000,733333,4,1
0,61,5,7,2200000,733333,4,1
0,61,5,7,2200000,733333,4,1
0,34,5,4,500000,250000,5,2
0,34,5,4,500000,250000,5,2
0,24,5,7,500000,250000,5,4
0,24,5,7,500000,250000,5,4
0,46,5,4,2662948,2662948,11,1
1,50,5,8,705000,352500,3,1
1,26,6,7,2323157,774385,7,1
1,56,6,6,3000000,1000000,13,2
1,34,6,8,3000000,1000000,11,1
0,63,6,5,7709987,3854993,13,1
0,63,6,5,7709987,3854993,13,1
0,79,6,8,1250000,625000,3,5
0,79,6,8,1250000,625000,3,5
2,58,6,7,3800000,950000,9,5
2,39,6,5,3800000,950000,9,4
0,54,6,8,7000000,3500000,13,1
0,54,6,8,7000000,3500000,13,1
0,76,6,6,3250000,1625000,4,5
0,76,6,6,3250000,1625000,4,5
0,69,6,9,3250000,1625000,3,4
0,69,6,9,3250000,1625000,3,4
4,42,6,10,2620000,436666,4,1
4,43,6,8,2620000,436666,4,4
0,68,6,10,3940000,3940000,13,6
0,50,6,10,1080000,540000,5,1
0,50,6,10,1080000,540000,5,1
0,52,6,7,1080000,540000,3,4
0,52,6,7,1080000,540000,3,4
2,59,1,0,6608333,1652083,11,1
2,68,6,7,6608333,1652083,13,4
2,41,5,1,1770600,442650,5,1
2,36,5,8,8131000,2032750,13,1
2,44,1,7,8131000,2032750,13,1
2,32,6,10,4454166,1113541,5,4
1,75,6,6,1033333,258333,1,5
1,69,6,5,1033333,258333,3,5
1,48,6,6,985833,328611,3,1
1,49,6,8,985833,328611,3,1
0,40,6,8,2455833,1227916,3,1
0,40,6,8,2455833,1227916,3,1
1,53,6,10,895000,298333,3,1
1,50,6,6,895000,298333,3,4
0,23,6,7,1178000,589000,7,4
0,23,6,7,1178000,589000,7,4
0,82,6,2,700000,350000,3,5
0,82,6,2,700000,350000,3,5
0,88,6,1,700000,350000,3,5
0,88,6,1,700000,350000,3,5
1,27,6,8,960000,480000,5,4
0,49,6,10,2133481,1066740,3,4
0,49,6,10,2133481,1066740,3,4
2,35,1,7,685000,228333,6,1
0,25,6,8,3100000,3100000,11,1
0,53,6,10,1294148,1294148,3,1
0,33,6,9,1125694,1125694,3,1
1,43,6,10,863500,287833,5,1
1,20,6,10,3442000,1147333,7,1
0,62,6,7,550000,275000,3,5
0,62,6,7,550000,275000,3,5
1,58,6,9,2999166,999722,3,1
2,45,6,10,1495833,299166,3,1
1,50,6,5,972000,324000,3,4
2,62,5,8,4900000,1225000,7,1
2,56,6,10,4900000,1225000,4,4
1,78,6,6,1004782,334927,3,4
2,47,5,8,828000,276000,5,4
2,51,6,7,4828211,965642,4,1
2,50,6,10,4828211,965642,4,4
3,63,6,10,2118744,302677,5,2
3,52,6,10,2118744,302677,3,4
1,29,6,10,4833333,1611111,11,1
3,40,6,10,3056422,611284,5,1
3,42,6,10,3056422,611284,5,4
1,61,5,9,3025000,1008333,5,1
1,54,6,10,3025000,1008333,7,1
0,52,5,8,2389949,298743,5,1
0,52,5,8,2389949,298743,5,1
0,52,5,8,2389949,298743,5,1
0,52,5,8,2389949,298743,5,1
0,52,5,8,2389949,298743,5,1
0,52,5,8,2389949,298743,5,1
0,52,5,8,2389949,298743,5,1
0,52,5,8,2389949,298743,5,1
0,55,4,10,680000,226666,3,6
0,55,4,10,680000,226666,3,6
0,55,4,10,680000,226666,3,6
0,56,5,9,680000,226666,3,4
0,56,5,9,680000,226666,3,4
0,56,5,9,680000,226666,3,4
0,57,5,10,812500,406250,4,4
0,57,5,10,812500,406250,4,4
3,34,6,6,1615616,323123,3,1
0,70,5,8,1622032,405508,3,4
0,70,5,8,1622032,405508,3,4
0,70,5,8,1622032,405508,3,4
0,70,5,8,1622032,405508,3,4
2,31,6,4,1496615,374153,4,4
2,34,6,10,1496615,374153,4,1
2,24,6,10,1102152,275538,5,1
2,25,6,10,1102152,275538,5,4
1,31,6,9,1021652,340550,5,4
1,24,6,10,1021652,340550,5,1
0,51,5,10,554666,277333,3,1
0,51,5,10,554666,277333,3,1
1,27,5,10,1150000,383333,5,4
0,63,5,9,668333,334166,1,2
0,63,5,9,668333,334166,1,2
3,41,5,10,1986666,331111,1,4
0,48,6,8,2000000,1000000,4,1
0,48,6,8,2000000,1000000,4,1
2,36,5,8,1871666,467916,7,4
2,51,6,8,3030000,505000,7,1
2,55,6,6,3030000,505000,7,4
2,33,6,10,1400000,350000,4,1
2,35,6,5,861666,287222,7,4
2,33,5,10,1182500,295625,4,4
2,38,5,10,1182500,295625,5,1
1,21,6,7,900000,300000,5,4
1,28,6,5,900000,300000,4,1
2,32,5,10,970000,242500,9,1
2,26,6,10,970000,242500,5,4
3,41,1,8,1500000,375000,11,1
1,76,5,9,1866666,373333,1,4
1,72,6,6,1100000,550000,3,4
0,62,6,4,1132000,566000,5,4
0,62,6,4,1132000,566000,5,4
0,69,5,7,1132000,566000,5,5
0,69,5,7,1132000,566000,5,5
3,56,5,8,3804500,475562,3,1
3,56,5,6,3804500,475562,4,4
2,58,6,0,1272500,254500,3,5
2,45,6,7,1272500,254500,3,1
0,62,6,7,1200000,600000,1,4
0,62,6,7,1200000,600000,1,4
1,38,6,6,1159833,386611,1,1
0,69,5,9,7633333,3816666,11,1
0,69,5,9,7633333,3816666,11,1
0,63,5,8,7633333,3816666,11,1
0,63,5,8,7633333,3816666,11,1
4,47,6,9,1532583,255430,4,4
