DIRECTORIO,REGION,CANT_HOGARES_VIVIENDA,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato,SECUENCIA_ENCUESTA_x,Num_Cuartos,Num_cuartos_para_dormir,Ingreso_hogar,Ingreso_percapita,cantidad_personas,Recibieron_Subsidio,Dinero_subsidio,Veces_lavadora,Tamaño_nevera,Horas_pc,Pago_energia,Pago_gas,SECUENCIA_P,ID,Sexo,Edad,Parentesco,Estado_civil,Conyuge,Padre_vive,Madre_vive,Cultura,Campesino,Satisfaccion_vida,Satisfaccion_economica,Satisfaccion_salud,Satisfaccion_trabajo,Felicidad,Tristeza,Escalon_vida,Tiene_EPS,Percepcion,Prepagada,Estado_salud,Enfermedad_grave,Sabe_escribir_leer,Estudia?,Nivel_educativo,Publico_privado,Actividad,Pension,Recibe_ingreso,Recibe_ingreso_alimento,Recibe_ingreso_bienes
7121648,1,1,2,1,1,4,3,1,1,7,5,2389949,298743,8,2,500000, ,2, ,112000,30000,1,3,2,52,1,3, ,3,3,5,2,8,9,9,8,8,1,8,1,2,2,2,2,1,2,5, ,1,2,2,2,2
7121648,1,1,2,1,1,4,3,1,1,7,5,2389949,298743,8,2,500000, ,2, ,112000,30000,1,3,2,51,7,4, ,3,3,5,2,4,4,8,8,10,0,10,1,2,2,2,2,1,2,4, ,4,2,2,2,2
7121648,1,1,2,1,1,4,3,1,1,7,5,2389949,298743,8,2,500000, ,2, ,112000,30000,1,3,2,48,7,5, ,3,3,5,2,7,7,6,8,9,6,8,1,2,2,2,1,1,2,3, ,1,2,2,2,2
7121648,1,1,2,1,1,4,3,1,1,7,5,2389949,298743,8,2,500000, ,2, ,112000,30000,1,3,2,39,7,5, ,3,3,5,2,7,8,8,3,7,1,8,1,2,2,2,2,1,2,5, ,1,2,2,2,2
7121648,1,1,2,1,1,4,3,1,1,7,5,2389949,298743,8,2,500000, ,2, ,112000,30000,1,3,2,35,9,2,1,3,2,5,2,7,8,8,0,10,0,10,1,2,2,2,2,1,2,5, ,4,2,2,2,2
7121648,1,1,2,1,1,4,3,1,1,7,5,2389949,298743,8,2,500000, ,2, ,112000,30000,1,3,1,35,14,2,1,2,2,5,2,8,7,8,6,7,4,8,1,2,2,2,2,1,2,3, ,1,2,2,2,2
7121648,1,1,2,1,1,4,3,1,1,7,5,2389949,298743,8,2,500000, ,2, ,112000,30000,1,2,1,14,9,5, ,1,1,5, , , , , , , , ,1,2,2,1,2,1,1, ,1,3, ,2,2,2
7121729,1,1,1,3,1,6,3,3,1,1,1,528333,264166,2,2,400000, , , ,0, ,1,5,1,22,1,4, ,2,2,5,1,8,5,9,0,0,7,5,2, ,2,3,2,1,2,5, ,2,2,2,2,2
7121845,3,1,1,1,1,4,4,1,1,3,3,416666,104166,4,1,360000,2,1, ,12000, ,1,3,2,34,1,4, ,3,1,6,2,6,4,10,3,7,2,9,1,2,2,1,2,1,2,5, ,4,2,2,2,2
7121845,3,1,1,1,1,4,4,1,1,3,3,416666,104166,4,1,360000,2,1, ,12000, ,1,2,1,12,3,5, ,2,1,6, , , , , , , , ,1,2,2,1,2,1,1, ,1,3, ,2,2,2
7121845,3,1,1,1,1,4,4,1,1,3,3,416666,104166,4,1,360000,2,1, ,12000, ,1,3,2,52,5,3, ,2,2,6,2,10,6,5,10,9,0,10,1,2,2,2,1,1,2,5, ,4,2,2,2,2
7121846,3,1,1,1,1,6,4,1,1,3,1,912500,228125,4,1,270000, ,1, ,15000, ,1,3,1,26,1,2,1,2,2,6,2,10,6,9,9,10,4,9,1,3,2,2,2,1,2,7, ,1,2,2,2,2
7121846,3,1,1,1,1,6,4,1,1,3,1,912500,228125,4,1,270000, ,1, ,15000, ,1,3,2,22,2,2,1,2,2,6,1,10,99,8,9,10,5,9,1,2,2,3,2,1,2,7, ,4,2,2,2,2
7121923,3,1,1,2,1,4,3,1,1,4,3,625000,125000,5,5,800000,2,1, ,35000,9200,1,3,2,48,1,4, ,3,2,6,1,6,0,8,0,8,0,10,1,3,2,2,1,1,2,5, ,4,2,2,2,2
7121923,3,1,1,2,1,4,3,1,1,4,3,625000,125000,5,5,800000,2,1, ,35000,9200,1,3,2,20,3,5, ,2,1,6,2,10,99,10,0,10,10,10,2, ,2,1,2,1,1, ,1,3,2,2,2,2
7121923,3,1,1,2,1,4,3,1,1,4,3,625000,125000,5,5,800000,2,1, ,35000,9200,1,2,1,15,3,5, ,2,1,6,2,10,99,10,0,10,0,10,2, ,2,2,2,1,2,4, ,6,2,2,2,2
7121923,3,1,1,2,1,4,3,1,1,4,3,625000,125000,5,5,800000,2,1, ,35000,9200,1,3,2,18,3,5, ,2,1,6,2,10,0,10,0,10,0,10,1,2,2,1,2,1,1, ,1,3,2,2,1,2
7121947,3,1,1,1,1,4,4,3,1,5,2,1136666,568333,2,2,360000,1,1, ,54000,45000,1,3,1,73,1,6,1,3,3,6,1,10,8,7,9,9,0,10,1,2,2,2,1,1,2,3, ,4,2,2,2,1
7121947,3,1,1,1,1,4,4,3,1,5,2,1136666,568333,2,2,360000,1,1, ,54000,45000,1,3,2,65,2,6,1,3,3,6,1,7,99,7,8,10,0,8,1,2,2,2,2,1,2,3, ,4,2,2,2,1
7122034,2,1,2,1,5,6,4,1,1,3,1,2750000,916666,3,1,15000000,2,2, ,22000, ,1,3,1,79,1,6,1,2,2,6,1,7,4,3,7,6,6,10,1,3,2,4,2,2,2,1, ,4,2,2,2,2
