DIRECTORIO,REGION,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato,Num_Cuartos,Num_cuartos_para_dormir,Ingreso_hogar,Ingreso_percapita,cantidad_personas,Recibieron_Subsidio,Dinero_subsidio,Veces_lavadora,Tamaño_nevera,Horas_pc,Pago_energia,Pago_gas
7121648,1.0,2.0,1.0,1.0,4.0,3.0,1,7,5,2389949,298743,8,2,500000, ,2, ,112000,30000
7121729,1.0,1.0,3.0,1.0,6.0,3.0,3,1,1,528333,264166,2,2,400000, , , ,0, 
7121845,3.0,1.0,1.0,1.0,4.0,4.0,1,3,3,416666,104166,4,1,360000,2,1, ,12000, 
7121846,3.0,1.0,1.0,1.0,6.0,4.0,1,3,1,912500,228125,4,1,270000, ,1, ,15000, 
7121923,3.0,1.0,2.0,1.0,4.0,3.0,1,4,3,625000,125000,5,5,800000,2,1, ,35000,9200
7121947,3.0,1.0,1.0,1.0,4.0,4.0,3,5,2,1136666,568333,2,2,360000,1,1, ,54000,45000
7122034,2.0,2.0,1.0,5.0,6.0,4.0,1,3,1,2750000,916666,3,1,15000000,2,2, ,22000, 
7122077,2.0,1.0,1.0,1.0,4.0,3.0,1,5,3,2561833,853944,3,1,600000, ,1, ,26000,17000
7122269,4.0,1.0,1.0,1.0,6.0,3.0,1,3,2,1929000,385800,5,1,800000,1,2, ,24000,20200
7122357,3.0,2.0,1.0,1.0,6.0,4.0, ,1,1,995416,497708,2,1,720000, , , , , 
7122489,9.0,2.0,1.0,8.0,6.0,4.0,0,2,1,376666,376666,1,1,960000,1, , ,0, 
7122496,9.0,2.0,1.0,1.0,6.0,4.0,1,3,2,110833,18472,6,5,250000, ,2, ,178000, 
7122686,9.0,1.0,1.0,1.0,6.0,4.0,1,4,2,3535833,707166,5,1,8640000,2,1, ,30500, 
7122810,9.0,2.0,1.0,1.0,3.0,3.0,3,3,2,1467333,489111,3,3,1480000, ,2,1,40000, 
7122831,1.0,1.0,2.0,1.0,6.0,3.0,2,3,2,490000,163333,3,1,400000,2,2, ,70000,20000
7122907,,,,,,,,4,3,1241000,248200,5,1,3000000,1,2, ,90000,130000
7122923,1.0,1.0,1.0,1.0,6.0,4.0,1,3,2,1716666,429166,4,1,2600000,2,1, ,58000,24000
7122951,1.0,1.0,1.0,1.0,6.0,3.0,1,3,2,463333,154444,3,1,300000, , , ,22000,15400
7123027,1.0,1.0,1.0,1.0,4.0,3.0,3,4,2,1798000,599333,3,1,1200000,3,2,1,250000,100000
7123160,3.0,1.0,2.0,1.0,6.0,4.0,1,2,1,66666,66666,1,1,800000,2,1, ,16000,2000
7123161,3.0,1.0,1.0,1.0,6.0,4.0,1,1,1,674166,168541,4,1,90000,2,1, ,80000,60000
7123197,3.0,1.0,1.0,1.0,6.0,4.0,1,4,1,605000,302500,2,2,300000, ,2, ,15000, 
7123220,3.0,2.0,1.0,6.0,6.0,4.0,1,2,1,930000,465000,2,1,360000, ,2, ,0, 
7123255,2.0,1.0,2.0,1.0,4.0,3.0,2,3,2,4628333,2314166,2,1,1600000,2,1, ,40000,8000
7123307,4.0,1.0,2.0,1.0,6.0,4.0,1,3,2,160000,80000,2,1,720000, , , ,30000,6000
7123335,4.0,1.0,1.0,3.0,6.0,4.0,2,2,1,582000,291000,2,1,492000, , , ,10500,80000
7123389,3.0,1.0,1.0,1.0,6.0,4.0,2,4,2,1630459,815229,2,1,4000000,1,1, ,34000,16000
7123507,9.0,1.0,2.0,1.0,4.0,1.0,1,3,2,1091449,545724,2,1,3000000, ,2,1,30000, 
7123509,9.0,1.0,1.0,1.0,4.0,1.0,1,3,2,1633333,272222,6,1,5000000, , ,2,16000, 
7123648,9.0,1.0,1.0,1.0,6.0,3.0,1,3,1,1083333,541666,2,2,10000000, , , ,30000,27000
7123706,9.0,1.0,1.0,5.0,5.0,4.0,0,2,1,300000,150000,2,2,900000, ,1, ,0, 
7123823,,,,,,,,4,2,445000,148333,3,3,1200000, ,1, ,118000,18000
7123866,1.0,1.0,2.0,1.0,4.0,3.0,1,3,2,1263666,421222,3,1,400000,2,1, ,40000,20000
7123953,2.0,1.0,1.0,1.0,7.0,4.0,1,3,1,392833,196416,2,1,514000, ,1, ,25000, 
7124158,9.0,1.0,1.0,4.0,7.0,4.0, ,2,1,2073333,691111,3,1,600000, , , , , 
7124160,9.0,1.0,2.0,1.0,4.0,1.0,9,1,1,1009333,1009333,1,1,400000, ,2, ,10000, 
7124163,9.0,1.0,2.0,1.0,4.0,1.0,1,4,2,1762500,587500,3,1,750000,2,1,1,30000,48000
7124272,1.0,1.0,2.0,1.0,4.0,3.0,2,4,2,690000,230000,3,1,1080000,2, , ,82000,24000
